producing

root@kafk00perf10-vio-bk:/opt/kafka/bin# kafka-producer-perf-test --topic example --producer.config /opt/kafka/config/client-ssl1.properties --num-records 1000000 --throughput -1 --record-size 10000
3658 records sent, 731.5 records/sec (6.98 MB/sec), 1623.9 ms avg latency, 3482.0 ms max latency.
1954 records sent, 390.6 records/sec (3.72 MB/sec), 3059.5 ms avg latency, 5714.0 ms max latency.
2001 records sent, 400.1 records/sec (3.82 MB/sec), 6574.1 ms avg latency, 8264.0 ms max latency.
2972 records sent, 594.4 records/sec (5.67 MB/sec), 3506.2 ms avg latency, 8334.0 ms max latency.
2641 records sent, 527.9 records/sec (5.03 MB/sec), 3487.1 ms avg latency, 5164.0 ms max latency.
2876 records sent, 575.0 records/sec (5.48 MB/sec), 3653.2 ms avg latency, 5597.0 ms max latency.
2892 records sent, 578.4 records/sec (5.52 MB/sec), 3551.7 ms avg latency, 5662.0 ms max latency.
3432 records sent, 686.4 records/sec (6.55 MB/sec), 3041.9 ms avg latency, 5373.0 ms max latency.
663 records sent, 59.2 records/sec (0.56 MB/sec), 2941.5 ms avg latency, 15102.0 ms max latency.
2886 records sent, 571.6 records/sec (5.45 MB/sec), 9890.0 ms avg latency, 16044.0 ms max latency.
3015 records sent, 603.0 records/sec (5.75 MB/sec), 4310.4 ms avg latency, 16724.0 ms max latency.
3672 records sent, 734.3 records/sec (7.00 MB/sec), 2843.7 ms avg latency, 6255.0 ms max latency.
3135 records sent, 626.9 records/sec (5.98 MB/sec), 2896.7 ms avg latency, 5866.0 ms max latency.
1120 records sent, 224.0 records/sec (2.14 MB/sec), 5211.4 ms avg latency, 8835.0 ms max latency.
3313 records sent, 662.6 records/sec (6.32 MB/sec), 4739.2 ms avg latency, 9824.0 ms max latency.
3990 records sent, 798.0 records/sec (7.61 MB/sec), 2607.9 ms avg latency, 6237.0 ms max latency.
3823 records sent, 764.6 records/sec (7.29 MB/sec), 2479.4 ms avg latency, 6418.0 ms max latency.
1841 records sent, 368.2 records/sec (3.51 MB/sec), 4362.7 ms avg latency, 8070.0 ms max latency.
3690 records sent, 737.9 records/sec (7.04 MB/sec), 3216.7 ms avg latency, 9044.0 ms max latency.
1736 records sent, 347.0 records/sec (3.31 MB/sec), 3083.0 ms avg latency, 9344.0 ms max latency.
3359 records sent, 671.8 records/sec (6.41 MB/sec), 3896.5 ms avg latency, 9984.0 ms max latency.
3414 records sent, 682.8 records/sec (6.51 MB/sec), 3144.3 ms avg latency, 10243.0 ms max latency.
3578 records sent, 715.6 records/sec (6.82 MB/sec), 2832.6 ms avg latency, 8380.0 ms max latency.
3076 records sent, 613.7 records/sec (5.85 MB/sec), 2943.6 ms avg latency, 8549.0 ms max latency.
2135 records sent, 427.0 records/sec (4.07 MB/sec), 4281.1 ms avg latency, 10069.0 ms max latency.
2509 records sent, 501.8 records/sec (4.79 MB/sec), 4040.8 ms avg latency, 11442.0 ms max latency.
3025 records sent, 605.0 records/sec (5.77 MB/sec), 4358.7 ms avg latency, 11695.0 ms max latency.
3664 records sent, 731.3 records/sec (6.97 MB/sec), 3222.3 ms avg latency, 9043.0 ms max latency.
3638 records sent, 725.6 records/sec (6.92 MB/sec), 2846.5 ms avg latency, 6580.0 ms max latency.
2070 records sent, 413.9 records/sec (3.95 MB/sec), 3370.4 ms avg latency, 7847.0 ms max latency.
3227 records sent, 645.3 records/sec (6.15 MB/sec), 4183.3 ms avg latency, 8338.0 ms max latency.
3321 records sent, 664.2 records/sec (6.33 MB/sec), 3109.8 ms avg latency, 8415.0 ms max latency.
2746 records sent, 549.2 records/sec (5.24 MB/sec), 3444.5 ms avg latency, 7027.0 ms max latency.
3512 records sent, 702.3 records/sec (6.70 MB/sec), 3246.9 ms avg latency, 6906.0 ms max latency.
2737 records sent, 547.4 records/sec (5.22 MB/sec), 3201.7 ms avg latency, 6226.0 ms max latency.
3011 records sent, 602.1 records/sec (5.74 MB/sec), 4029.4 ms avg latency, 6752.0 ms max latency.
2666 records sent, 526.9 records/sec (5.02 MB/sec), 3013.7 ms avg latency, 6323.0 ms max latency.
2193 records sent, 438.6 records/sec (4.18 MB/sec), 5523.6 ms avg latency, 7384.0 ms max latency.
3304 records sent, 660.5 records/sec (6.30 MB/sec), 3688.8 ms avg latency, 7179.0 ms max latency.
2670 records sent, 534.0 records/sec (5.09 MB/sec), 3302.1 ms avg latency, 4856.0 ms max latency.
3659 records sent, 731.4 records/sec (6.97 MB/sec), 3202.6 ms avg latency, 4821.0 ms max latency.
3551 records sent, 710.2 records/sec (6.77 MB/sec), 2880.1 ms avg latency, 3739.0 ms max latency.
1985 records sent, 396.9 records/sec (3.79 MB/sec), 3744.6 ms avg latency, 5679.0 ms max latency.
3411 records sent, 682.2 records/sec (6.51 MB/sec), 3917.5 ms avg latency, 5745.0 ms max latency.
3382 records sent, 676.3 records/sec (6.45 MB/sec), 2961.4 ms avg latency, 3404.0 ms max latency.
3440 records sent, 688.0 records/sec (6.56 MB/sec), 2895.4 ms avg latency, 3581.0 ms max latency.
3829 records sent, 765.8 records/sec (7.30 MB/sec), 2834.1 ms avg latency, 3596.0 ms max latency.
3738 records sent, 747.5 records/sec (7.13 MB/sec), 2681.2 ms avg latency, 3421.0 ms max latency.
2767 records sent, 553.4 records/sec (5.28 MB/sec), 2754.6 ms avg latency, 4999.0 ms max latency.
2106 records sent, 420.9 records/sec (4.01 MB/sec), 4270.8 ms avg latency, 7344.0 ms max latency.
3100 records sent, 620.0 records/sec (5.91 MB/sec), 4351.5 ms avg latency, 8321.0 ms max latency.
2532 records sent, 505.1 records/sec (4.82 MB/sec), 2833.6 ms avg latency, 6346.0 ms max latency.
1795 records sent, 359.0 records/sec (3.42 MB/sec), 4977.9 ms avg latency, 9424.0 ms max latency.
2394 records sent, 478.8 records/sec (4.57 MB/sec), 4410.3 ms avg latency, 9497.0 ms max latency.
1197 records sent, 239.3 records/sec (2.28 MB/sec), 5165.6 ms avg latency, 10620.0 ms max latency.
3027 records sent, 605.4 records/sec (5.77 MB/sec), 5268.1 ms avg latency, 11187.0 ms max latency.
2812 records sent, 562.3 records/sec (5.36 MB/sec), 3407.7 ms avg latency, 9760.0 ms max latency.
1893 records sent, 378.5 records/sec (3.61 MB/sec), 4403.1 ms avg latency, 9976.0 ms max latency.
1887 records sent, 374.5 records/sec (3.57 MB/sec), 4082.0 ms avg latency, 11892.0 ms max latency.
1175 records sent, 234.6 records/sec (2.24 MB/sec), 6233.4 ms avg latency, 14280.0 ms max latency.
1731 records sent, 346.2 records/sec (3.30 MB/sec), 6770.8 ms avg latency, 15615.0 ms max latency.
1849 records sent, 369.7 records/sec (3.53 MB/sec), 5700.4 ms avg latency, 17646.0 ms max latency.
2666 records sent, 533.2 records/sec (5.08 MB/sec), 5702.9 ms avg latency, 16311.0 ms max latency.
1764 records sent, 352.7 records/sec (3.36 MB/sec), 4857.7 ms avg latency, 12321.0 ms max latency.
2903 records sent, 579.4 records/sec (5.53 MB/sec), 3922.9 ms avg latency, 12019.0 ms max latency.
2565 records sent, 512.9 records/sec (4.89 MB/sec), 4694.3 ms avg latency, 10044.0 ms max latency.
1545 records sent, 308.6 records/sec (2.94 MB/sec), 4581.8 ms avg latency, 11636.0 ms max latency.
1805 records sent, 360.9 records/sec (3.44 MB/sec), 4731.5 ms avg latency, 11645.0 ms max latency.
1565 records sent, 312.9 records/sec (2.98 MB/sec), 5206.4 ms avg latency, 14959.0 ms max latency.
2703 records sent, 540.5 records/sec (5.15 MB/sec), 5485.6 ms avg latency, 14946.0 ms max latency.
1262 records sent, 252.4 records/sec (2.41 MB/sec), 5064.7 ms avg latency, 12543.0 ms max latency.
2313 records sent, 460.4 records/sec (4.39 MB/sec), 4997.6 ms avg latency, 13030.0 ms max latency.
2378 records sent, 474.7 records/sec (4.53 MB/sec), 5567.7 ms avg latency, 14525.0 ms max latency.
1870 records sent, 374.0 records/sec (3.57 MB/sec), 4748.8 ms avg latency, 11701.0 ms max latency.
2867 records sent, 573.3 records/sec (5.47 MB/sec), 4740.1 ms avg latency, 12047.0 ms max latency.
3819 records sent, 763.6 records/sec (7.28 MB/sec), 3371.6 ms avg latency, 8858.0 ms max latency.
3812 records sent, 762.2 records/sec (7.27 MB/sec), 2833.7 ms avg latency, 4881.0 ms max latency.
3620 records sent, 723.9 records/sec (6.90 MB/sec), 2743.2 ms avg latency, 4094.0 ms max latency.
